用户Id,昵称,评论内容,点赞数
122730701,相对理性,做了一天家教，误了末班公交，为了省8块钱打车费，我走了7站路，旁边步行的阿姨说“小姑娘，打个车吧”，我打趣说走走锻炼身体。给姥姥打电话，她说“没考上，没关系，慢慢来”，不争气的我眼泪流出来了。为了理想，我能坚持！不说啦，好饿哇，回去给自己做点饭啦，哈哈哈哈哈哈哈,12846
427246335,辛酸超人_,       还有几个小时就要飞往离家二千多公里的城市了，这个场景两年前就出现过，那次是服役，这次是工作。陪父母的日子真的越来越少了，他们羡慕我可以游历五湖四海，我羡慕他们有家可回，理想就是让父母过上好日子吧。好啦 就到这了，愿航班起落平安，晚安。[拜],12639
用户Id,昵称,评论内容,点赞数
7005952,德国心脏病,男不听七友，女不听钟无艳[流感],237305
2972146,音耀,有事钟无艳，无事夏迎春,161323
69056842,武mermer,特意查了永不开封的汽水的故事，原来是这样的。汽水开封后，里面的“汽”会慢慢逸散，汽水就没那么好喝。与其冒着会让汽水变难喝的危险，不如就让这瓶汽水永不开封吧。虽然尝不到，但看着还是会觉得有些甜意吧。,99746
46889584,庸人自_扰,暗恋对于一个人来说，是一场兵荒马乱。,62410
6836245,渡边军士孤独之心俱乐部乐队,都说男不听《七友》，女不听《钟无艳》，人家把你当gay蜜的不听《男孩像你》[大哭],56953
60600914,帐号已注销,齐宣王放弃自尊来求钟无艳，带她走出天牢去救自己的江山的一刻，钟无艳撒娇地说，你背我啊。在他背上，一刻关怀，似一世宠爱。,43916
70201674,爱吃鱼的喵喵喵,他只字未提我爱你，你却句句都是我愿意,42081
14307821,粥粥小盆友,有没有人把专辑上的眼睛看成嘴的。。我大晚上看到心一凉差点吓尿,27511
48673032,灬Diors丶,人要是矫情起来，听什么歌都像自己。,26202
8595961,我只是改了个名字大约十五个字吧,"你真的想多了，这首歌是写给黄耀明看的。黄耀明和林夕是绝世好友，谁都知道。林夕喜欢黄耀明，谁也都知道。所以,,,看歌词，一切都明白了。这歌词最痛苦的是：“你的他怎允许结伴观赏雪的泪。”估计黄耀明和他的外国小男友讲了林夕和他之间的故事...",19430
118432211,Yuu_a,你不是庸君齐宣王，我更不是才女钟无艳。有事无事，你都不会想到我。,18676
88080604,hstingxx,我有一瓶09年9月16日他随手递给我的统一冰红茶。至今未拆。,18438
34004717,橙西桔,整首歌最喜欢这句歌词：你的她怎允许，结伴观赏雪的泪，永不开封的汽水，让我抱在怀内吻下去。,16180
610114023,依拂,小女不才，不知公子早已心属别家女子，此经一别，自是不会相见了。,11195
用户Id,昵称,评论内容,点赞数
3667661,G和弦滴根音,爷爷病重，考研失败，骑士也没夺冠，今年似乎一切都不顺利。明天就要离校，辗转难眠，我的亲人和理想你们慢些走[皱眉],519182
77193976,大赫学摇滚,你们谁能想到  这是我高中室友  果然坚持了音乐梦想  加油！！！！！！,433138
