书名,页面地址,图片地址
 【预订】Automate the Boring Stuff with Python: Practical Programmin... 9781593275990 ,http://product.dangdang.com/1312798249.html,http://img3x9.ddimg.cn/37/28/1312798249-1_b_2.jpg
 【预订】Doing Math with Python 9781593276409 ,http://product.dangdang.com/1312797949.html,http://img3x9.ddimg.cn/34/24/1312797949-1_b_2.jpg
 【预订】Python Playground 9781593276041 ,http://product.dangdang.com/1312797349.html,http://img3x9.ddimg.cn/28/16/1312797349-1_b_2.jpg
 【预订】Data Science Essentials in Python: Collect - Organize - Exp... 9781680501841 ,http://product.dangdang.com/1312796749.html,http://img3x9.ddimg.cn/22/8/1312796749-1_b_2.jpg
" 【预订】Python for Everyone, Second Edition Interactive Ebook Epub ... 9781119257318 ",http://product.dangdang.com/1305980949.html,http://img3x9.ddimg.cn/75/15/1305980949-1_b_1.jpg
 Python机器学习（影印版） ,http://product.dangdang.com/25084232.html,http://img3x2.ddimg.cn/8/8/25084232-1_b_1.jpg
 深入浅出深度学习：原理剖析与Python实践 ,http://product.dangdang.com/25082459.html,http://img3x9.ddimg.cn/17/11/25082459-1_b_3.jpg
 【预订】Matplotlib for Python Developers ,http://product.dangdang.com/1170932408.html,http://img3x8.ddimg.cn/8/31/1170932408-1_b_0.jpg
 【预订】Python Programming with Oracle Database ,http://product.dangdang.com/1225498908.html,http://img3x8.ddimg.cn/84/4/1225498908-1_b_0.jpg
 Getting Started with BeagleBone: Linux-Powered Electronic Projects With Python and JavaScript ,http://product.dangdang.com/1223495020.html,http://img3x0.ddimg.cn/55/36/1223495020-1_b_1.jpg
 【预订】Expert Python Programming ,http://product.dangdang.com/1172983008.html,http://img3x8.ddimg.cn/21/17/1172983008-1_b_0.jpg
 【预订】Dive Into Python 3 ,http://product.dangdang.com/1128640108.html,http://img3x8.ddimg.cn/13/26/1128640108-1_b_0.jpg
" Python网络数据采集 (美)米切尔(Ryan Mitchell) 著;陶俊杰,陈小莉 译   人民邮电出版社 ",http://product.dangdang.com/1210789382.html,http://img3x2.ddimg.cn/77/13/1210789382-1_b_5.jpg
 【预订】Maya Python for Games and Film: A Complete Reference ,http://product.dangdang.com/1125488708.html,http://img3x8.ddimg.cn/80/27/1125488708-1_b_0.jpg
